Building_Type,Variation_Type,Alternative_ID,LCA_Measure,Unit,A1_A3_Total,A4_A5_Total,B2_B4_B6_Total,C1_C4_Total,D_Total,A_to_C_Total,A_to_D_Total
Single_Family_Residential_Raised_Wood_Floor,Efficient_HVAC,2.4,Eutrophication Potential,kg N eq,207.375,32.550000000000004,4560.0,26.775,11.52375,4826.7,4838.22375
Single_Family_Residential_Raised_Wood_Floor,Efficient_HVAC,2.4,Ozone Depletion Potential,kg CFC-11 eq,0.024255,0.0012153749999999,0.0602,0.0012075,-3.12375e-06,0.086877875,0.08687475125
Single_Family_Residential_Raised_Wood_Floor,Efficient_HVAC,2.4,Smog Potential,kg O3 eq,11812.5,12915.0,79200.0,11576.25,-147.26250000000002,115503.75,115356.4875
Single_Family_Residential_Raised_Wood_Floor,Efficient_HVAC,2.4,Total Primary Energy,MJ,3045000.0,496125.0,77600000.0,572250.0,963375.0,81713375.0,82676750.0
Single_Family_Residential_Raised_Wood_Floor,Efficient_HVAC,2.4,Non-Renewable Energy,MJ,2835000.0,488250.0,54600000.0,564375.0,1031625.0,58487625.0,59519250.0
Single_Family_Residential_Raised_Wood_Floor,Efficient_HVAC,2.4,Fossil Fuel Consumption,MJ,2808750.0,485625.0,53200000.0,551250.0,1060500.0,57045625.0,58106125.0
