Building_Type,Variation_Type,Alternative_ID,LCA_Measure,Unit,A1_A3_Total,A4_A5_Total,B2_B4_B6_Total,C1_C4_Total,D_Total,A_to_C_Total,A_to_D_Total
Single_Family_Residential_Variation_1,Efficient_HVAC,3.4,Eutrophication Potential,kg N eq,232.26,36.45600000000001,5107.200000000001,29.988000000000003,12.906600000000005,5405.904000000001,5418.810600000002
Single_Family_Residential_Variation_1,Efficient_HVAC,3.4,Ozone Depletion Potential,kg CFC-11 eq,0.0271656,0.00136122,0.067424,0.0013524,-3.4986000000000003e-06,0.09730322,0.0972997214
Single_Family_Residential_Variation_1,Efficient_HVAC,3.4,Smog Potential,kg O3 eq,13230.000000000002,14464.800000000005,88704.00000000001,12965.400000000003,-164.93400000000003,129364.20000000004,129199.26600000005
Single_Family_Residential_Variation_1,Efficient_HVAC,3.4,Total Primary Energy,MJ,3410400.0000000005,555660.0,86912000.00000001,640920.0,1078980.0000000002,91518980.0,92597960.0
Single_Family_Residential_Variation_1,Efficient_HVAC,3.4,Non-Renewable Energy,MJ,3175200.0000000005,546840.0000000001,61152000.0,632100.0,1155420.0,65506140.0,66661560.0
Single_Family_Residential_Variation_1,Efficient_HVAC,3.4,Fossil Fuel Consumption,MJ,3145800.0000000005,543900.0000000001,59584000.0,617400.0,1187760.0,63891100.0,65078860.0
