Building_Type,Variation_Type,Alternative_ID,LCA_Measure,Unit,A1_A3_Total,A4_A5_Total,B2_B4_B6_Total,C1_C4_Total,D_Total,A_to_C_Total,A_to_D_Total
Single_Family_Residential_Variation_2,Efficient_HVAC,4.4,Eutrophication Potential,kg N eq,248.85,39.06,5472.0,32.13,13.8285,5792.04,5805.8685
Single_Family_Residential_Variation_2,Efficient_HVAC,4.4,Ozone Depletion Potential,kg CFC-11 eq,0.029106,0.0014584499999999,0.07224,0.001449,-3.7485e-06,0.10425345,0.1042497015
Single_Family_Residential_Variation_2,Efficient_HVAC,4.4,Smog Potential,kg O3 eq,14175.0,15498.0,95040.0,13891.5,-176.715,138604.5,138427.785
Single_Family_Residential_Variation_2,Efficient_HVAC,4.4,Total Primary Energy,MJ,3654000.0,595350.0,93120000.0,686700.0,1156050.0,98056050.0,99212100.0
Single_Family_Residential_Variation_2,Efficient_HVAC,4.4,Non-Renewable Energy,MJ,3402000.0,585900.0,65520000.0,677250.0,1237950.0,70185150.0,71423100.0
Single_Family_Residential_Variation_2,Efficient_HVAC,4.4,Fossil Fuel Consumption,MJ,3370500.0,582750.0,63840000.0,661500.0,1272600.0,68454750.0,69727350.0
