Building_Type,Variation_Type,Alternative_ID,LCA_Measure,Unit,A1_A3_Total,A4_A5_Total,B2_B4_B6_Total,C1_C4_Total,D_Total,A_to_C_Total,A_to_D_Total
Condo_Reference,Efficient_HVAC,1.4,Eutrophication Potential,kg N eq,829.5,130.20000000000002,18240.0,107.1,46.095,19306.8,19352.895
Condo_Reference,Efficient_HVAC,1.4,Ozone Depletion Potential,kg CFC-11 eq,0.09702,0.0048614999999999,0.2408,0.00483,-1.2495e-05,0.3475115,0.347499005
Condo_Reference,Efficient_HVAC,1.4,Smog Potential,kg O3 eq,47250.0,51660.0,316800.0,46305.0,-589.0500000000001,462015.0,461425.95
Condo_Reference,Efficient_HVAC,1.4,Total Primary Energy,MJ,12180000.0,1984500.0,310400000.0,2289000.0,3853500.0,326853500.0,330707000.0
Condo_Reference,Efficient_HVAC,1.4,Non-Renewable Energy,MJ,11340000.0,1953000.0,218400000.0,2257500.0,4126500.0,233950500.0,238077000.0
Condo_Reference,Efficient_HVAC,1.4,Fossil Fuel Consumption,MJ,11235000.0,1942500.0,212800000.0,2205000.0,4242000.0,228182500.0,232424500.0
