Building_Type,Variation_Type,Alternative_ID,LCA_Measure,Unit,A1_A3_Total,A4_A5_Total,B2_B4_B6_Total,C1_C4_Total,D_Total,A_to_C_Total,A_to_D_Total
Teaching_Building,High_Performance_Envelope,6.2,Eutrophication Potential,kg N eq,2903.25,455.7000000000001,67830.0,374.85,161.3325,71563.8,71725.1325
Teaching_Building,High_Performance_Envelope,6.2,Ozone Depletion Potential,kg CFC-11 eq,0.33957,0.01701525,0.8954749999999999,0.016905,-4.37325e-05,1.26896525,1.2689215175
Teaching_Building,High_Performance_Envelope,6.2,Smog Potential,kg O3 eq,165375.0,180810.0,1178100.0,162067.5,-2061.675,1686352.5,1684290.825
Teaching_Building,High_Performance_Envelope,6.2,Total Primary Energy,MJ,42630000.0,6945750.0,1154300000.0,8011500.0,13487250.0,1211887250.0,1225374500.0
Teaching_Building,High_Performance_Envelope,6.2,Non-Renewable Energy,MJ,39690000.0,6835500.0,812175000.0,7901250.0,14442750.0,866601750.0,881044500.0
Teaching_Building,High_Performance_Envelope,6.2,Fossil Fuel Consumption,MJ,39322500.0,6798750.0,791350000.0,7717500.0,14847000.0,845188750.0,860035750.0
