Building_Type,Variation_Type,Alternative_ID,LCA_Measure,Unit,A1_A3_Total,A4_A5_Total,B2_B4_B6_Total,C1_C4_Total,D_Total,A_to_C_Total,A_to_D_Total
Single_Family_Residential_Variation_1,Baseline,3.1,Eutrophication Potential,kg N eq,221.2,34.720000000000006,6384.000000000001,28.56,12.292000000000002,6668.480000000001,6680.772000000002
Single_Family_Residential_Variation_1,Baseline,3.1,Ozone Depletion Potential,kg CFC-11 eq,0.025872,0.0012964,0.08428,0.001288,-3.332e-06,0.1127364,0.112733068
Single_Family_Residential_Variation_1,Baseline,3.1,Smog Potential,kg O3 eq,12600.000000000002,13776.000000000002,110880.0,12348.000000000002,-157.08,149604.00000000003,149446.92000000004
Single_Family_Residential_Variation_1,Baseline,3.1,Total Primary Energy,MJ,3248000.0000000005,529200.0,108640000.0,610400.0,1027600.0,113027600.0,114055200.0
Single_Family_Residential_Variation_1,Baseline,3.1,Non-Renewable Energy,MJ,3024000.0000000005,520800.00000000006,76440000.0,602000.0,1100400.0,80586800.0,81687200.0
Single_Family_Residential_Variation_1,Baseline,3.1,Fossil Fuel Consumption,MJ,2996000.0000000005,518000.00000000006,74480000.0,588000.0,1131200.0,78582000.0,79713200.0
