Building_Type,Variation_Type,Alternative_ID,LCA_Measure,Unit,A1_A3_Total,A4_A5_Total,B2_B4_B6_Total,C1_C4_Total,D_Total,A_to_C_Total,A_to_D_Total
Single_Family_Residential_Variation_2,Comprehensive_Optimization,4.6,Eutrophication Potential,kg N eq,260.70000000000005,40.92,4788.0,33.660000000000004,14.487000000000002,5123.28,5137.767
Single_Family_Residential_Variation_2,Comprehensive_Optimization,4.6,Ozone Depletion Potential,kg CFC-11 eq,0.030492,0.0015279,0.0632099999999999,0.001518,-3.927e-06,0.0967479,0.096743973
Single_Family_Residential_Variation_2,Comprehensive_Optimization,4.6,Smog Potential,kg O3 eq,14850.000000000002,16236.000000000002,83160.0,14553.000000000002,-185.13,128799.0,128613.87
Single_Family_Residential_Variation_2,Comprehensive_Optimization,4.6,Total Primary Energy,MJ,3828000.000000001,623700.0,81480000.0,719400.0,1211100.0,86651100.0,87862200.0
Single_Family_Residential_Variation_2,Comprehensive_Optimization,4.6,Non-Renewable Energy,MJ,3564000.0000000005,613800.0,57330000.0,709500.0,1296900.0,62217300.0,63514200.0
Single_Family_Residential_Variation_2,Comprehensive_Optimization,4.6,Fossil Fuel Consumption,MJ,3531000.0000000005,610500.0,55860000.0,693000.0,1333200.0,60694500.0,62027700.0
