Building_Type,Variation_Type,Alternative_ID,LCA_Measure,Unit,A1_A3_Total,A4_A5_Total,B2_B4_B6_Total,C1_C4_Total,D_Total,A_to_C_Total,A_to_D_Total
Condo_Reference,High_Performance_Envelope,1.2,Eutrophication Potential,kg N eq,829.5,130.20000000000002,19380.0,107.1,46.095,20446.8,20492.895
Condo_Reference,High_Performance_Envelope,1.2,Ozone Depletion Potential,kg CFC-11 eq,0.09702,0.0048614999999999,0.2558499999999999,0.00483,-1.2495e-05,0.3625615,0.362549005
Condo_Reference,High_Performance_Envelope,1.2,Smog Potential,kg O3 eq,47250.0,51660.0,336600.0,46305.0,-589.0500000000001,481815.0,481225.95
Condo_Reference,High_Performance_Envelope,1.2,Total Primary Energy,MJ,12180000.0,1984500.0,329800000.0,2289000.0,3853500.0,346253500.0,350107000.0
Condo_Reference,High_Performance_Envelope,1.2,Non-Renewable Energy,MJ,11340000.0,1953000.0,232050000.0,2257500.0,4126500.0,247600500.0,251727000.0
Condo_Reference,High_Performance_Envelope,1.2,Fossil Fuel Consumption,MJ,11235000.0,1942500.0,226100000.0,2205000.0,4242000.0,241482500.0,245724500.0
