Building_Type,Variation_Type,Alternative_ID,LCA_Measure,Unit,A1_A3_Total,A4_A5_Total,B2_B4_B6_Total,C1_C4_Total,D_Total,A_to_C_Total,A_to_D_Total
CasaNS_Eco_Friendly_House,Baseline,5.1,Eutrophication Potential,kg N eq,118.5,18.6,3420.0,15.3,6.585,3572.4,3578.985
CasaNS_Eco_Friendly_House,Baseline,5.1,Ozone Depletion Potential,kg CFC-11 eq,0.0138599999999999,0.0006944999999999,0.0451499999999999,0.00069,-1.785e-06,0.0603945,0.060392715
CasaNS_Eco_Friendly_House,Baseline,5.1,Smog Potential,kg O3 eq,6750.0,7380.0,59400.0,6615.0,-84.14999999999999,80145.0,80060.85
CasaNS_Eco_Friendly_House,Baseline,5.1,Total Primary Energy,MJ,1740000.0,283500.0,58200000.0,327000.0,550500.0,60550500.0,61101000.0
CasaNS_Eco_Friendly_House,Baseline,5.1,Non-Renewable Energy,MJ,1620000.0,279000.0,40950000.0,322500.0,589500.0,43171500.0,43761000.0
CasaNS_Eco_Friendly_House,Baseline,5.1,Fossil Fuel Consumption,MJ,1605000.0,277500.0,39900000.0,315000.0,606000.0,42097500.0,42703500.0
