Building_Type,Variation_Type,Alternative_ID,LCA_Measure,Unit,A1_A3_Total,A4_A5_Total,B2_B4_B6_Total,C1_C4_Total,D_Total,A_to_C_Total,A_to_D_Total
Single_Family_Residential_Variation_2,Optimized_WWR_Shading,4.3,Eutrophication Potential,kg N eq,232.26,36.456,6156.0,29.988,12.9066,6454.704000000001,6467.610600000001
Single_Family_Residential_Variation_2,Optimized_WWR_Shading,4.3,Ozone Depletion Potential,kg CFC-11 eq,0.0271655999999999,0.0013612199999999,0.08127,0.0013524,-3.4986e-06,0.1111492199999999,0.1111457214
Single_Family_Residential_Variation_2,Optimized_WWR_Shading,4.3,Smog Potential,kg O3 eq,13230.0,14464.8,106920.0,12965.4,-164.93399999999997,147580.19999999998,147415.26599999997
Single_Family_Residential_Variation_2,Optimized_WWR_Shading,4.3,Total Primary Energy,MJ,3410400.0,555660.0,104760000.0,640920.0,1078980.0,109366980.0,110445960.0
Single_Family_Residential_Variation_2,Optimized_WWR_Shading,4.3,Non-Renewable Energy,MJ,3175200.0,546840.0,73710000.0,632100.0,1155420.0,78064140.0,79219560.0
Single_Family_Residential_Variation_2,Optimized_WWR_Shading,4.3,Fossil Fuel Consumption,MJ,3145800.0,543900.0,71820000.0,617400.0,1187760.0,76127100.0,77314860.0
