Building_Type,Variation_Type,Alternative_ID,LCA_Measure,Unit,A1_A3_Total,A4_A5_Total,B2_B4_B6_Total,C1_C4_Total,D_Total,A_to_C_Total,A_to_D_Total
Single_Family_Residential_Variation_1,Orientation_Passive_Design,3.5,Eutrophication Potential,kg N eq,221.2,34.720000000000006,5745.600000000001,28.56,12.292000000000002,6030.080000000002,6042.372000000002
Single_Family_Residential_Variation_1,Orientation_Passive_Design,3.5,Ozone Depletion Potential,kg CFC-11 eq,0.025872,0.0012964,0.075852,0.001288,-3.332e-06,0.1043084,0.104305068
Single_Family_Residential_Variation_1,Orientation_Passive_Design,3.5,Smog Potential,kg O3 eq,12600.000000000002,13776.000000000002,99792.0,12348.000000000002,-157.08,138516.00000000003,138358.92000000004
Single_Family_Residential_Variation_1,Orientation_Passive_Design,3.5,Total Primary Energy,MJ,3248000.0000000005,529200.0,97776000.0,610400.0,1027600.0,102163600.0,103191200.0
Single_Family_Residential_Variation_1,Orientation_Passive_Design,3.5,Non-Renewable Energy,MJ,3024000.0000000005,520800.00000000006,68796000.0,602000.0,1100400.0,72942800.0,74043200.0
Single_Family_Residential_Variation_1,Orientation_Passive_Design,3.5,Fossil Fuel Consumption,MJ,2996000.0000000005,518000.00000000006,67032000.0,588000.0,1131200.0,71134000.0,72265200.0
