Building_Type,Variation_Type,Alternative_ID,LCA_Measure,Unit,A1_A3_Total,A4_A5_Total,B2_B4_B6_Total,C1_C4_Total,D_Total,A_to_C_Total,A_to_D_Total
Condo_Reference,Optimized_WWR_Shading,1.3,Eutrophication Potential,kg N eq,774.1999999999999,121.52,20520.0,99.96,43.022,21515.68,21558.702
Condo_Reference,Optimized_WWR_Shading,1.3,Ozone Depletion Potential,kg CFC-11 eq,0.090552,0.0045374,0.2709,0.004508,-1.1662e-05,0.3704974,0.3704857379999999
Condo_Reference,Optimized_WWR_Shading,1.3,Smog Potential,kg O3 eq,44100.0,48216.0,356400.0,43218.0,-549.78,491934.0,491384.22
Condo_Reference,Optimized_WWR_Shading,1.3,Total Primary Energy,MJ,11368000.0,1852200.0,349200000.0,2136400.0,3596600.0,364556600.0,368153200.0
Condo_Reference,Optimized_WWR_Shading,1.3,Non-Renewable Energy,MJ,10584000.0,1822800.0,245700000.0,2107000.0,3851400.0,260213800.0,264065200.0
Condo_Reference,Optimized_WWR_Shading,1.3,Fossil Fuel Consumption,MJ,10486000.0,1813000.0,239400000.0,2058000.0,3959200.0,253757000.0,257716200.0
