Building_Type,Variation_Type,Alternative_ID,LCA_Measure,Unit,A1_A3_Total,A4_A5_Total,B2_B4_B6_Total,C1_C4_Total,D_Total,A_to_C_Total,A_to_D_Total
Single_Family_Residential_Variation_1,High_Performance_Envelope,3.2,Eutrophication Potential,kg N eq,232.26,36.45600000000001,5426.400000000001,29.988000000000003,12.906600000000005,5725.104000000001,5738.010600000001
Single_Family_Residential_Variation_1,High_Performance_Envelope,3.2,Ozone Depletion Potential,kg CFC-11 eq,0.0271656,0.00136122,0.071638,0.0013524,-3.4986000000000003e-06,0.10151722,0.1015137214
Single_Family_Residential_Variation_1,High_Performance_Envelope,3.2,Smog Potential,kg O3 eq,13230.000000000002,14464.800000000005,94248.0,12965.400000000003,-164.93400000000003,134908.2,134743.266
Single_Family_Residential_Variation_1,High_Performance_Envelope,3.2,Total Primary Energy,MJ,3410400.0000000005,555660.0,92344000.0,640920.0,1078980.0000000002,96950980.0,98029960.0
Single_Family_Residential_Variation_1,High_Performance_Envelope,3.2,Non-Renewable Energy,MJ,3175200.0000000005,546840.0000000001,64974000.0,632100.0,1155420.0,69328140.0,70483560.0
Single_Family_Residential_Variation_1,High_Performance_Envelope,3.2,Fossil Fuel Consumption,MJ,3145800.0000000005,543900.0000000001,63308000.0,617400.0,1187760.0,67615100.0,68802860.0
