Building_Type,Variation_Type,Alternative_ID,LCA_Measure,Unit,A1_A3_Total,A4_A5_Total,B2_B4_B6_Total,C1_C4_Total,D_Total,A_to_C_Total,A_to_D_Total
Teaching_Building,Optimized_WWR_Shading,6.3,Eutrophication Potential,kg N eq,2709.7,425.32,71820.0,349.86,150.577,75304.88,75455.45700000001
Teaching_Building,Optimized_WWR_Shading,6.3,Ozone Depletion Potential,kg CFC-11 eq,0.3169319999999999,0.0158808999999999,0.94815,0.015778,-4.081699999999999e-05,1.2967409,1.296700083
Teaching_Building,Optimized_WWR_Shading,6.3,Smog Potential,kg O3 eq,154350.0,168756.0,1247400.0,151263.0,-1924.23,1721769.0,1719844.77
Teaching_Building,Optimized_WWR_Shading,6.3,Total Primary Energy,MJ,39788000.0,6482700.0,1222200000.0,7477400.0,12588100.0,1275948100.0,1288536200.0
Teaching_Building,Optimized_WWR_Shading,6.3,Non-Renewable Energy,MJ,37044000.0,6379800.0,859950000.0,7374500.0,13479900.0,910748300.0,924228200.0
Teaching_Building,Optimized_WWR_Shading,6.3,Fossil Fuel Consumption,MJ,36701000.0,6345500.0,837900000.0,7203000.0,13857200.0,888149500.0,902006700.0
