Building_Type,Variation_Type,Alternative_ID,LCA_Measure,Unit,A1_A3_Total,A4_A5_Total,B2_B4_B6_Total,C1_C4_Total,D_Total,A_to_C_Total,A_to_D_Total
Teaching_Building,Comprehensive_Optimization,6.6,Eutrophication Potential,kg N eq,3041.5000000000005,477.4,55860.0,392.7000000000001,169.015,59771.6,59940.615
Teaching_Building,Comprehensive_Optimization,6.6,Ozone Depletion Potential,kg CFC-11 eq,0.35574,0.0178254999999999,0.7374499999999998,0.01771,-4.5815e-05,1.1287254999999996,1.1286796849999996
Teaching_Building,Comprehensive_Optimization,6.6,Smog Potential,kg O3 eq,173250.0,189420.00000000003,970200.0,169785.0,-2159.8500000000004,1502655.0,1500495.15
Teaching_Building,Comprehensive_Optimization,6.6,Total Primary Energy,MJ,44660000.0,7276500.000000001,950600000.0,8393000.0,14129500.000000002,1010929500.0,1025059000.0
Teaching_Building,Comprehensive_Optimization,6.6,Non-Renewable Energy,MJ,41580000.0,7161000.000000001,668850000.0,8277500.000000001,15130500.000000002,725868500.0,740999000.0
Teaching_Building,Comprehensive_Optimization,6.6,Fossil Fuel Consumption,MJ,41195000.0,7122500.000000001,651700000.0,8085000.000000001,15554000.000000002,708102500.0,723656500.0
