Building_Type,Variation_Type,Alternative_ID,LCA_Measure,Unit,A1_A3_Total,A4_A5_Total,B2_B4_B6_Total,C1_C4_Total,D_Total,A_to_C_Total,A_to_D_Total
Single_Family_Residential_Raised_Wood_Floor,Optimized_WWR_Shading,2.3,Eutrophication Potential,kg N eq,193.55,30.38,5130.0,24.99,10.7555,5378.92,5389.6755
Single_Family_Residential_Raised_Wood_Floor,Optimized_WWR_Shading,2.3,Ozone Depletion Potential,kg CFC-11 eq,0.022638,0.00113435,0.067725,0.001127,-2.9155e-06,0.09262435,0.0926214344999999
Single_Family_Residential_Raised_Wood_Floor,Optimized_WWR_Shading,2.3,Smog Potential,kg O3 eq,11025.0,12054.0,89100.0,10804.5,-137.445,122983.5,122846.055
Single_Family_Residential_Raised_Wood_Floor,Optimized_WWR_Shading,2.3,Total Primary Energy,MJ,2842000.0,463050.0,87300000.0,534100.0,899150.0,91139150.0,92038300.0
Single_Family_Residential_Raised_Wood_Floor,Optimized_WWR_Shading,2.3,Non-Renewable Energy,MJ,2646000.0,455700.0,61425000.0,526750.0,962850.0,65053450.0,66016300.0
Single_Family_Residential_Raised_Wood_Floor,Optimized_WWR_Shading,2.3,Fossil Fuel Consumption,MJ,2621500.0,453250.0,59850000.0,514500.0,989800.0,63439250.0,64429050.0
