Building_Type,Variation_Type,Alternative_ID,LCA_Measure,Unit,A1_A3_Total,A4_A5_Total,B2_B4_B6_Total,C1_C4_Total,D_Total,A_to_C_Total,A_to_D_Total
Single_Family_Residential_Raised_Wood_Floor,Comprehensive_Optimization,2.6,Eutrophication Potential,kg N eq,217.25000000000003,34.1,3990.0,28.05,12.0725,4269.4,4281.4725
Single_Family_Residential_Raised_Wood_Floor,Comprehensive_Optimization,2.6,Ozone Depletion Potential,kg CFC-11 eq,0.02541,0.00127325,0.0526749999999999,0.001265,-3.2725e-06,0.08062325,0.0806199775
Single_Family_Residential_Raised_Wood_Floor,Comprehensive_Optimization,2.6,Smog Potential,kg O3 eq,12375.000000000002,13530.000000000002,69300.0,12127.500000000002,-154.275,107332.5,107178.225
Single_Family_Residential_Raised_Wood_Floor,Comprehensive_Optimization,2.6,Total Primary Energy,MJ,3190000.0000000005,519750.00000000006,67900000.0,599500.0,1009250.0,72209250.0,73218500.0
Single_Family_Residential_Raised_Wood_Floor,Comprehensive_Optimization,2.6,Non-Renewable Energy,MJ,2970000.0000000005,511500.00000000006,47775000.0,591250.0,1080750.0,51847750.0,52928500.0
Single_Family_Residential_Raised_Wood_Floor,Comprehensive_Optimization,2.6,Fossil Fuel Consumption,MJ,2942500.0000000005,508750.00000000006,46550000.0,577500.0,1111000.0,50578750.0,51689750.0
