Building_Type,Variation_Type,Alternative_ID,LCA_Measure,Unit,A1_A3_Total,A4_A5_Total,B2_B4_B6_Total,C1_C4_Total,D_Total,A_to_C_Total,A_to_D_Total
CasaNS_Eco_Friendly_House,Optimized_WWR_Shading,5.3,Eutrophication Potential,kg N eq,116.13,18.228,3078.0,14.993999999999998,6.4533,3227.3520000000003,3233.8053000000004
CasaNS_Eco_Friendly_House,Optimized_WWR_Shading,5.3,Ozone Depletion Potential,kg CFC-11 eq,0.0135827999999999,0.0006806099999999,0.040635,0.0006762,-1.7493e-06,0.0555746099999999,0.0555728607
CasaNS_Eco_Friendly_House,Optimized_WWR_Shading,5.3,Smog Potential,kg O3 eq,6615.0,7232.4,53460.0,6482.7,-82.46699999999998,73790.09999999999,73707.63299999999
CasaNS_Eco_Friendly_House,Optimized_WWR_Shading,5.3,Total Primary Energy,MJ,1705200.0,277830.0,52380000.0,320460.0,539490.0,54683490.0,55222980.0
CasaNS_Eco_Friendly_House,Optimized_WWR_Shading,5.3,Non-Renewable Energy,MJ,1587600.0,273420.0,36855000.0,316050.0,577710.0,39032070.0,39609780.0
CasaNS_Eco_Friendly_House,Optimized_WWR_Shading,5.3,Fossil Fuel Consumption,MJ,1572900.0,271950.0,35910000.0,308700.0,593880.0,38063550.0,38657430.0
