Building_Type,Variation_Type,Alternative_ID,LCA_Measure,Unit,A1_A3_Total,A4_A5_Total,B2_B4_B6_Total,C1_C4_Total,D_Total,A_to_C_Total,A_to_D_Total
Single_Family_Residential_Variation_2,High_Performance_Envelope,4.2,Eutrophication Potential,kg N eq,248.85,39.06,5814.0,32.13,13.8285,6134.04,6147.8685
Single_Family_Residential_Variation_2,High_Performance_Envelope,4.2,Ozone Depletion Potential,kg CFC-11 eq,0.029106,0.0014584499999999,0.0767549999999999,0.001449,-3.7485e-06,0.1087684499999999,0.1087647014999999
Single_Family_Residential_Variation_2,High_Performance_Envelope,4.2,Smog Potential,kg O3 eq,14175.0,15498.0,100980.0,13891.5,-176.715,144544.5,144367.785
Single_Family_Residential_Variation_2,High_Performance_Envelope,4.2,Total Primary Energy,MJ,3654000.0,595350.0,98940000.0,686700.0,1156050.0,103876050.0,105032100.0
Single_Family_Residential_Variation_2,High_Performance_Envelope,4.2,Non-Renewable Energy,MJ,3402000.0,585900.0,69615000.0,677250.0,1237950.0,74280150.0,75518100.0
Single_Family_Residential_Variation_2,High_Performance_Envelope,4.2,Fossil Fuel Consumption,MJ,3370500.0,582750.0,67830000.0,661500.0,1272600.0,72444750.0,73717350.0
